COD_MULTA;DESCRICAO;PONTOS;VALOR;GRAVIDADE
518-51;DEIXAR O CONDUTOR DE USAR O CINTO DE SEGURANÇA;5;195,23;GRAVE
542-82;ESTACIONAR NA PISTA DE ROLAMENTO DAS RODOVIAS;7;293,47;GRAVISSIMA
544-40;ESTACIONAR NOS ACOSTAMENTOS;3;88,38;LEVE
555-00;ESTACIONAR EM LOCAL/HORARIO PROIBIDO ESPECIFICAMENTE PELA SINALIZAÇÃO;4;130,16;MEDIA
556-80;ESTACIONAR LOCAL/HORARIO DE ESTACIONAMENTO E PARADA PROIBIDOS PELA SINALIZAÇÃO;5;195,23;GRAVE
570-30;DEIXAR DE CONSERVAR O VEICULO NA FAIXA A ELE DESTINADA PELA SINALIZACAO DE REGUL;4;130,16;MEDIA
571-10;DEIXAR DE CONSERVAR NAS FAIXAS DA DIREITA O VEICULO LENTO E DE MAIOR PORTE;4;130,16;MEDIA
574-60;TRANSITAR EM LOCAL/HORÁRIO NÃO PERMITIDO PELA REGULAMENTAÇÃO - CAMINHÃO;4;130,16;MEDIA
574-63;TRANSITAR EM LOCAL/HORÁRIO NÃO PERMITIDO PELA REGULAMENTAÇÃO - CAMINHÃO;4;130,16;MEDIA
580-00;DEIXAR GUARDAR DIST SEGURANCA LAT/FRONT ENTRE SEU VEIC E DEMAIS E AO BORDO PISTA;5;195,23;GRAVE
583-50;DESOBEDECER AS ORDENS EMANADAS DA AUTORID COMPET DE TRANSITO OU DE SEUS AGENTES;5;195,23;GRAVE
605-03;AVANCAR O SINAL VERMELHO DO SEMAFORO EXC ONDE HOUVER SINALIZACAO QUE PERM LIVRE CONV A DIREITA;7;293,47;GRAVISSIMA
606-82;DEIXAR DE ADENTRAR AS ÁREAS DESTINADAS À PESAGEM DE VEÍCULOS;5;195,23;GRAVE
637-80;DEIXAR DE REDUZIR A VELOCIDADE DE FORMA COMPATIVEL COM A SEGURANÇA;5;195,23;GRAVE
745-50;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM ATE 20%;4;130,16;MEDIA
746-30;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM MAIS DE 20% ATE 50%;5;195,23;GRAVE
747-10;TRANSITAR EM VELOCIDADE SUPERIOR A MAXIMA PERMITIDA EM MAIS DE 50%;7;293,47;GRAVISSIMA
763-32;DIRIGIR VEICULO MANUSEANDO TELEFONE CELULAR;7;293,47;GRAVISSIMA

